family_id,n_members,phylum,auroc
PF09719.13,5,Acidobacteriota,0.84
PF04471.15,5,Acidobacteriota,1.0
PF13263.9,7,Acidobacteriota,0.9183673469387756
PF00213.21,8,Acidobacteriota,0.84375
PF02441.22,9,Acidobacteriota,0.8518518518518519
PF01741.21,10,Acidobacteriota,0.77
PF00920.24,16,Acidobacteriota,0.875
PF00861.25,12,Acidobacteriota,0.9166666666666666
PF01384.23,12,Acidobacteriota,0.9930555555555556
PF01613.21,16,Acidobacteriota,1.0
PF01435.21,22,Acidobacteriota,0.9173553719008264
PF00873.22,20,Acidobacteriota,0.8825
PF00303.22,5,Actinobacteriota,0.56
PF02559.19,6,Actinobacteriota,0.9166666666666666
PF10418.12,8,Actinobacteriota,0.796875
PF01127.25,8,Actinobacteriota,1.0
PF03372.26,10,Actinobacteriota,0.9
PF04199.16,12,Actinobacteriota,0.9236111111111112
PF01032.21,12,Actinobacteriota,0.9583333333333334
PF00300.25,28,Actinobacteriota,0.9438775510204082
PF01594.19,18,Actinobacteriota,0.9907407407407408
PF00313.25,20,Actinobacteriota,0.9425
PF09970.12,5,Aenigmatarchaeota,0.6
PF02926.20,5,Aenigmatarchaeota,0.92
PF05362.16,5,Aenigmatarchaeota,0.88
PF01198.22,6,Aenigmatarchaeota,0.8888888888888888
PF03734.17,8,Aenigmatarchaeota,0.890625
PF01136.22,7,Aenigmatarchaeota,0.8163265306122449
PF01139.20,10,Aenigmatarchaeota,0.7
PF01871.20,9,Aenigmatarchaeota,1.0
PF02397.19,15,Aenigmatarchaeota,0.7688888888888888
PF03773.16,16,Aenigmatarchaeota,0.97265625
PF03692.18,13,Aenigmatarchaeota,0.8047337278106509
PF00999.24,21,Aenigmatarchaeota,0.891156462585034
PF00410.22,19,Aenigmatarchaeota,0.7451523545706371
PF03334.17,5,Aerophobota,0.88
PF01865.19,6,Aerophobota,0.8611111111111112
PF01106.20,8,Aerophobota,1.0
PF01155.22,8,Aerophobota,1.0
PF09827.12,10,Aerophobota,0.88
PF00834.22,11,Aerophobota,0.8016528925619835
PF02677.17,9,Aerophobota,0.8395061728395061
PF02572.18,10,Aerophobota,0.83
PF03099.22,15,Aerophobota,0.92
PF01765.22,13,Aerophobota,1.0
PF04255.17,15,Aerophobota,0.9155555555555556
PF01208.20,34,Aerophobota,0.846885813148789
PF00528.25,145,Aerophobota,0.9800237812128418
PF01092.22,5,Altiarchaeota,0.96
PF01949.19,5,Altiarchaeota,1.0
PF19027.3,5,Altiarchaeota,0.92
PF01992.19,7,Altiarchaeota,0.8775510204081632
PF04041.16,10,Altiarchaeota,0.94
PF00850.22,17,Altiarchaeota,0.9792387543252596
PF02223.20,14,Altiarchaeota,0.7244897959183674
PF00118.27,19,Altiarchaeota,0.9806094182825484
PF00155.24,64,Altiarchaeota,0.9345703125
PF00162.22,21,Altiarchaeota,0.90702947845805
PF13387.9,5,Aquificota,0.92
PF14332.9,6,Aquificota,0.6111111111111112
PF08245.15,8,Aquificota,0.75
PF01313.22,8,Aquificota,1.0
PF04413.19,7,Aquificota,0.9183673469387756
PF04166.15,9,Aquificota,0.6666666666666666
PF00902.21,9,Aquificota,1.0
PF00551.22,16,Aquificota,0.896484375
PF01895.22,16,Aquificota,0.953125
PF00318.23,14,Aquificota,1.0
PF01618.19,40,Aquificota,0.998125
PF00348.20,24,Aquificota,1.0
PF01427.20,5,Armatimonadota,0.84
PF00719.22,5,Armatimonadota,0.84
PF00444.21,5,Armatimonadota,0.92
PF00364.25,8,Armatimonadota,0.828125
PF07394.15,8,Armatimonadota,1.0
PF03934.16,10,Armatimonadota,0.92
PF05258.15,10,Armatimonadota,0.85
PF12679.10,12,Armatimonadota,0.9236111111111112
PF02673.21,19,Armatimonadota,0.994459833795014
PF01996.19,6,Asgardarchaeota,0.6944444444444444
PF07311.15,6,Asgardarchaeota,1.0
PF01935.20,5,Asgardarchaeota,0.84
PF01916.20,7,Asgardarchaeota,0.8571428571428571
PF02566.22,12,Asgardarchaeota,0.9861111111111112
PF00327.23,15,Asgardarchaeota,0.8488888888888889
PF01990.20,5,Atribacterota,0.72
PF02632.17,5,Atribacterota,0.96
PF01937.22,6,Atribacterota,0.8611111111111112
PF01863.20,7,Atribacterota,1.0
PF00343.23,7,Atribacterota,0.7551020408163265
PF02547.18,9,Atribacterota,0.9012345679012346
PF06808.15,9,Atribacterota,0.9382716049382716
PF04290.15,9,Atribacterota,1.0
PF00466.23,13,Atribacterota,0.9822485207100592
PF03061.25,17,Atribacterota,0.9757785467128028
PF02075.20,14,Atribacterota,0.9693877551020408
PF01264.24,21,Atribacterota,0.7868480725623582
PF09992.12,6,Aureabacteria,0.7777777777777778
PF08668.15,7,Aureabacteria,0.6326530612244898
PF08241.15,8,Aureabacteria,0.78125
PF01625.24,7,Aureabacteria,1.0
PF02537.18,7,Aureabacteria,1.0
PF08713.14,9,Aureabacteria,0.9629629629629628
PF02348.22,11,Aureabacteria,0.9338842975206612
PF13385.9,12,Aureabacteria,0.8125
PF00694.22,16,Aureabacteria,0.8515625
PF01957.21,18,Aureabacteria,0.8888888888888888
PF05157.18,6,B130-G9,0.8611111111111112
PF02700.17,6,B130-G9,0.8055555555555556
PF10049.12,5,B130-G9,0.72
PF09991.12,7,B130-G9,0.7755102040816326
PF01564.20,7,B130-G9,1.0
PF06245.14,11,B130-G9,0.9421487603305784
PF02033.21,16,B130-G9,0.96484375
PF01195.22,23,B130-G9,0.9603024574669188
PF03030.19,22,B130-G9,0.9297520661157024
PF01142.21,5,B1Sed10-29,1.0
PF09972.12,6,B1Sed10-29,0.9444444444444444
PF01171.23,7,B1Sed10-29,0.8571428571428571
PF09721.13,10,B1Sed10-29,0.89
PF04011.15,13,B1Sed10-29,1.0
PF05016.18,27,B1Sed10-29,0.9012345679012346
PF01381.25,22,B1Sed10-29,0.6921487603305785
PF00276.23,21,B1Sed10-29,0.8276643990929705
PF06305.14,6,BMS3Abin14,1.0
PF05494.15,7,BMS3Abin14,0.8571428571428571
PF01220.22,12,BMS3Abin14,0.8402777777777778
PF02502.21,15,BMS3Abin14,0.8755555555555555
PF09335.14,21,BMS3Abin14,0.9863945578231292
PF01182.23,6,BS750m-G25,0.8888888888888888
PF09851.12,7,BS750m-G25,0.9183673469387756
PF05681.17,8,BS750m-G25,0.421875
PF01192.25,11,BS750m-G25,0.3801652892561983
PF00216.24,12,BS750m-G25,0.7222222222222222
PF03169.18,12,BS750m-G25,0.9513888888888888
PF00137.24,20,BS750m-G25,1.0
PF02583.20,5,BS750m-G34,1.0
PF13482.9,5,BS750m-G34,0.84
PF00290.23,11,BS750m-G34,0.743801652892562
PF02347.19,10,BS750m-G34,0.72
PF02687.24,15,BS750m-G34,0.9688888888888888
PF01116.23,13,BS750m-G34,0.5562130177514792
PF00830.22,12,BS750m-G34,1.0
PF05168.17,21,BS750m-G34,0.90702947845805
PF13091.9,6,Bacteroidota,0.6388888888888888
PF04134.15,5,Bacteroidota,1.0
PF01227.25,8,Bacteroidota,1.0
PF00793.23,8,Bacteroidota,0.4375
PF01694.25,18,Bacteroidota,0.9197530864197532
PF06508.16,6,Bdellovibrionota,0.9166666666666666
PF03741.19,5,Bdellovibrionota,1.0
PF13229.9,7,Bdellovibrionota,0.8163265306122449
PF01476.23,11,Bdellovibrionota,0.6611570247933884
PF04079.19,15,Bdellovibrionota,0.9333333333333332
PF02620.20,17,Bdellovibrionota,0.9273356401384084
PF00027.32,30,Bdellovibrionota,0.8466666666666667
PF20539.1,5,Bdellovibrionota_C,0.8
PF08478.13,5,Bdellovibrionota_C,1.0
PF00498.29,6,Bdellovibrionota_C,0.75
PF01844.26,7,Bdellovibrionota_C,0.9183673469387756
PF00494.22,7,Bdellovibrionota_C,0.9591836734693876
PF02666.18,11,Bdellovibrionota_C,0.975206611570248
PF01029.21,12,Bdellovibrionota_C,0.9027777777777778
PF12710.10,6,Bdellovibrionota_E,1.0
PF02195.21,8,Bdellovibrionota_E,0.9375
PF08843.14,11,Bdellovibrionota_E,0.8677685950413223
PF02452.20,13,Bdellovibrionota_E,0.9940828402366864
PF00380.22,17,Bdellovibrionota_E,0.9826989619377162
PF12850.10,5,Bipolaricaulota,0.8
PF06386.14,5,Bipolaricaulota,0.96
PF00288.29,8,Bipolaricaulota,1.0
PF01783.26,11,Bipolaricaulota,0.9834710743801652
PF00831.26,17,Bipolaricaulota,0.9965397923875432
PF00828.22,18,Bipolaricaulota,0.8858024691358025
PF01938.23,5,CAIJMQ01,0.84
PF13088.9,6,CAIJMQ01,0.5277777777777778
PF14464.9,7,CAIJMQ01,1.0
PF00166.24,10,CAIJMQ01,0.94
PF01914.20,10,CAIJMQ01,0.98
PF01678.22,11,CAIJMQ01,1.0
PF00815.23,11,CAIJMQ01,0.8099173553719008
PF00692.22,20,CAIJMQ01,0.9725
PF01750.21,6,CG03,0.7777777777777778
PF01336.28,7,CG03,0.673469387755102
PF01855.22,8,CG03,0.78125
PF03687.16,9,CG03,0.6172839506172839
PF01965.27,9,CG03,0.9753086419753086
PF00584.23,14,CG03,1.0
PF00682.22,23,CG03,0.7863894139886578
PF02080.24,5,CG2-30-53-67,1.0
PF01361.24,6,CG2-30-53-67,1.0
PF03259.20,7,CG2-30-53-67,0.9591836734693876
PF00977.24,8,CG2-30-53-67,0.671875
PF00472.23,7,CG2-30-53-67,1.0
PF01520.21,10,CG2-30-53-67,0.81
PF00795.25,22,CG2-30-53-67,0.962809917355372
PF10150.12,6,CG2-30-70-394,0.5555555555555556
PF07992.17,5,CG2-30-70-394,0.8
PF00285.24,10,CG2-30-70-394,0.7
PF01632.22,17,CG2-30-70-394,1.0
PF11306.11,5,CLD3,0.88
PF01882.21,14,CLD3,0.9693877551020408
PF02472.19,34,CLD3,0.9178200692041524
PF01156.22,6,CSP1-3,0.7222222222222222
PF12831.10,5,CSP1-3,0.88
PF08309.14,7,CSP1-3,0.7142857142857143
PF02608.17,12,CSP1-3,0.9791666666666666
PF01867.19,5,CSSED10-310,1.0
PF02446.20,11,CSSED10-310,0.9917355371900828
PF02310.22,11,CSSED10-310,0.859504132231405
PF00889.22,12,CSSED10-310,0.8333333333333334
PF13620.9,16,CSSED10-310,0.796875
PF00291.28,58,CSSED10-310,0.9512485136741974
PF02001.19,5,Caldisericota,0.88
PF04961.15,5,Caldisericota,1.0
PF06262.14,5,Caldisericota,0.84
PF02674.19,8,Caldisericota,0.96875
PF17253.5,9,Caldisericota,1.0
PF01255.22,16,Caldisericota,0.98828125
PF00912.25,5,Calditrichota,0.92
PF13366.9,11,Calditrichota,0.9090909090909092
PF02517.19,12,Calditrichota,0.8819444444444444
PF02508.17,18,Calditrichota,0.9135802469135802
PF00781.27,5,Calescibacterota,1.0
PF03975.16,6,Calescibacterota,0.75
PF02675.18,7,Calescibacterota,0.979591836734694
PF00448.25,9,Calescibacterota,0.7037037037037037
PF07396.14,10,Calescibacterota,0.93
PF00263.24,10,Calescibacterota,0.96
PF00015.24,12,Calescibacterota,0.7777777777777778
PF07676.15,18,Calescibacterota,0.6820987654320988
PF13597.9,5,Campylobacterota,0.44
PF06271.15,5,Campylobacterota,0.84
PF01311.23,7,Campylobacterota,1.0
PF00342.22,10,Campylobacterota,0.98
PF01327.24,18,Campylobacterota,1.0
PF00004.32,6,Chlamydiota,0.3611111111111111
PF08238.15,5,Chlamydiota,0.8
PF01988.22,9,Chlamydiota,0.9629629629629628
PF00355.29,16,Chlamydiota,0.80078125
PF01661.24,7,Chloroflexota,0.9387755102040816
PF02086.18,6,Chrysiogenota,0.9166666666666666
PF05050.15,8,Chrysiogenota,0.765625
PF01924.19,8,Chrysiogenota,0.5
PF01042.24,20,Chrysiogenota,0.9875
PF13036.9,5,Cloacimonadota,0.64
PF00717.26,9,Cloacimonadota,0.8271604938271605
PF04350.16,13,Cloacimonadota,0.9349112426035504
PF06429.16,5,Coprothermobacterota,0.8
PF00206.23,6,Coprothermobacterota,0.8055555555555556
PF04493.17,7,Coprothermobacterota,0.8979591836734694
PF03977.16,8,Coprothermobacterota,0.75
PF00994.27,11,Coprothermobacterota,0.9834710743801652
PF13500.9,6,Cyanobacteria,0.9444444444444444
PF00210.27,6,Cyanobacteria,0.9166666666666666
PF00950.20,10,Cyanobacteria,0.79
PF13372.9,5,DRYD01,1.0
PF04542.17,7,DRYD01,0.8367346938775511
PF00265.21,7,DRYD01,0.9183673469387756
PF00482.26,48,DRYD01,0.9852430555555556
PF03063.23,5,DTU030,0.56
PF08279.15,5,DTU030,0.56
PF02954.22,6,DTU030,0.5
PF03780.16,7,DTU030,0.8571428571428571
PF00860.23,9,DTU030,0.925925925925926
PF00892.23,65,DTU030,0.9751479289940828
PF09413.13,5,DUMJ01,0.92
PF01177.25,17,DUMJ01,0.972318339100346
PF01934.20,25,DUMJ01,1.0
PF04002.18,6,Deferribacterota,0.75
PF04468.15,8,Deferribacterota,0.859375
PF03547.21,9,Deferribacterota,0.9753086419753086
PF00581.23,28,Deferribacterota,0.9043367346938777
PF00561.23,6,Deinococcota,0.9722222222222222
PF10079.12,5,Deinococcota,1.0
PF01960.21,10,Deinococcota,0.99
PF13280.9,5,Delongbacteria,0.88
PF01343.21,5,Dependentiae,0.92
PF13103.9,7,Dependentiae,0.8979591836734694
PF03793.22,9,Dependentiae,0.9012345679012346
PF02367.20,15,Dependentiae,0.8755555555555555
PF07796.14,6,Desantisbacteria,0.6388888888888888
PF03309.17,9,Desantisbacteria,1.0
PF01041.20,16,Desantisbacteria,0.94921875
PF01345.21,13,Desantisbacteria,0.8816568047337278
PF04909.17,23,Desantisbacteria,0.9092627599243857
PF01326.22,5,Desulfobacterota,0.68
PF10135.12,6,Desulfobacterota,1.0
PF03480.16,17,Desulfobacterota,0.9307958477508652
PF01966.25,23,Desulfobacterota,0.7523629489603024
PF00471.23,12,Desulfobacterota_B,0.9930555555555556
PF00440.26,24,Desulfobacterota_B,0.4635416666666667
PF00497.23,7,Desulfobacterota_C,0.979591836734694
PF13517.9,9,Desulfobacterota_C,0.8888888888888888
PF00180.23,24,Desulfobacterota_C,0.9166666666666666
PF07876.15,6,Desulfobacterota_D,0.8333333333333334
PF01875.20,10,Desulfobacterota_D,0.91
PF01008.20,13,Desulfobacterota_D,0.7633136094674556
PF01797.19,29,Desulfobacterota_D,0.995243757431629
PF01553.24,28,Desulfobacterota_E,0.8303571428571429
PF13277.9,6,Desulfobacterota_G,0.75
PF12762.10,6,Desulfobacterota_I,0.8888888888888888
PF00232.21,5,Dictyoglomota,0.8
PF01869.23,8,Dictyoglomota,0.890625
PF02424.18,16,Dictyoglomota,1.0
PF02579.20,18,Dictyoglomota,0.9506172839506172
PF00248.24,35,Dormibacterota,0.9102040816326532
PF01479.28,5,EX4484-52,0.8
PF00239.24,5,EX4484-52,0.8
PF02498.20,5,EX4484-52,0.8
PF13412.9,7,EX4484-52,0.5306122448979592
PF00437.23,39,EX4484-52,0.7554240631163708
PF07494.14,8,Edwardsbacteria,0.671875
PF00221.22,10,Edwardsbacteria,0.91
PF01515.22,12,Edwardsbacteria,0.6944444444444444
PF02775.24,28,Edwardsbacteria,0.75
PF01791.12,16,Eisenbacteria,0.84765625
PF10502.12,20,Eisenbacteria,0.96
PF02662.19,5,Eremiobacterota,0.88
PF01061.27,12,Eremiobacterota,0.9791666666666666
PF05015.16,6,FCPU426,0.9444444444444444
PF13399.9,5,FCPU426,0.88
PF02606.17,10,FCPU426,0.81
PF13490.9,21,FCPU426,0.7551020408163265
PF13083.9,11,FEN-1099,0.6942148760330579
PF13472.9,17,FEN-1099,0.8096885813148789
PF03781.19,27,FEN-1099,0.9725651577503428
PF11104.11,5,Fermentibacterota,0.76
PF13173.9,7,Fermentibacterota,0.7959183673469388
PF01288.23,11,Fermentibacterota,1.0
PF03840.17,13,Fermentibacterota,1.0
PF00583.28,18,Fermentibacterota,0.8672839506172839
PF13557.9,5,Fibrobacterota,1.0
PF10543.12,6,Fibrobacterota,1.0
PF09603.13,7,Fibrobacterota,0.9591836734693876
PF01554.21,12,Fibrobacterota,0.9236111111111112
PF00119.23,5,Firestonebacteria,0.68
PF01016.22,9,Firestonebacteria,1.0
PF01420.22,7,Firmicutes,0.979591836734694
PF03668.18,9,Firmicutes,0.8271604938271605
PF12705.10,15,Firmicutes,0.9288888888888888
PF00849.25,21,Firmicutes_A,0.8843537414965986
PF01493.22,5,Firmicutes_B,1.0
PF04023.17,10,Firmicutes_B,1.0
PF00490.24,5,Firmicutes_C,0.68
PF01244.24,5,Firmicutes_D,0.96
PF01545.24,7,Firmicutes_D,1.0
PF00126.30,9,Firmicutes_D,0.8271604938271605
PF04205.17,14,Firmicutes_D,0.8928571428571429
PF00724.23,5,Firmicutes_E,0.88
PF13186.9,7,Firmicutes_E,0.4897959183673469
PF00359.25,22,Firmicutes_E,0.9855371900826446
PF01026.24,21,Firmicutes_F,0.9251700680272108
PF04347.16,5,Firmicutes_G,0.88
PF00919.23,6,Firmicutes_G,0.9166666666666666
PF02660.18,20,Firmicutes_G,0.96
PF01235.20,8,Fusobacteriota,0.859375
PF01039.25,17,Fusobacteriota,0.8858131487889274
PF12323.11,8,GCA-001730085,1.0
PF00329.22,11,GCA-001730085,0.4545454545454545
PF00146.24,19,GCA-001730085,0.9501385041551248
PF07075.14,6,Gemmatimonadota,0.9166666666666666
PF02633.17,7,Gemmatimonadota,0.8979591836734694
PF01636.26,14,Gemmatimonadota_A,0.7602040816326531
PF01145.28,41,Gemmatimonadota_A,0.7584770969660916
PF13505.9,5,Goldbacteria,0.52
PF03065.18,9,Goldbacteria,0.6419753086419753
PF01649.21,11,HKB111,1.0
PF01555.21,12,HKB111,0.7430555555555556
PF01925.22,21,HKB111,0.9886621315192744
PF02036.20,6,Hadarchaeota,0.6944444444444444
PF00764.22,9,Hadarchaeota,0.3580246913580246
PF00294.27,48,Hadarchaeota,0.8923611111111112
PF01963.20,6,Halobacteriota,0.3611111111111111
PF04893.20,12,Halobacteriota,0.8680555555555556
PF01282.22,6,Huberarchaeota,0.8055555555555556
PF01248.29,11,Hydrothermarchaeota,0.9008264462809916
PF00885.22,16,Hydrothermarchaeota,0.99609375
PF04412.16,6,Iainarchaeota,0.7222222222222222
PF00708.21,15,Iainarchaeota,0.9866666666666668
PF00067.25,6,J088,1.0
PF01578.23,15,J088,0.9866666666666668
PF01066.24,33,J088,0.9871441689623508
PF04191.16,6,JAAXHH01,0.75
PF03328.17,5,JAAXHH01,0.84
PF19572.2,10,JAAXHH01,0.4
PF01663.25,20,JABDJQ01,0.8225
PF01058.25,27,JACIXR01,0.7414266117969822
PF01312.22,7,JACPQY01,0.979591836734694
PF03477.19,9,JACPQY01,0.9506172839506172
PF03916.17,12,JACPSX01,0.8888888888888888
PF01977.19,11,JACPUC01,0.9090909090909092
PF08334.14,5,JACQOV01,0.48
PF02604.22,17,JACQOV01,0.8961937716262975
PF01035.23,13,JAFGND01,0.621301775147929
PF01040.21,29,JAFGND01,0.9881093935790726
PF08543.15,5,JAFGOL01,0.84
PF00754.28,10,JAGOBX01,0.77
PF02518.29,24,JAGOBX01,0.6996527777777778
PF01740.24,16,JAGOEH01,0.73046875
PF01063.22,23,JAGOEH01,0.9603024574669188
PF00474.20,25,JdFR-76,0.976
PF01979.23,5,Krumholzibacteriota,0.8
PF02082.23,18,Krumholzibacteriota,0.9228395061728396
PF00884.26,16,Latescibacterota,0.87109375
PF00149.31,19,Latescibacterota,0.7894736842105263
PF00510.21,5,Lindowbacteria,1.0
PF00929.27,7,Lindowbacteria,1.0
PF00936.22,17,Lindowbacteria,0.9896193771626296
PF00588.22,16,Margulisbacteria,0.9609375
PF05635.14,25,Margulisbacteria,0.9968
PF00903.28,13,Marinisomatota,0.8165680473372781
PF04389.20,9,Mcinerneyibacteriota,0.925925925925926
PF00037.30,6,Methanobacteriota,0.7777777777777778
